Symbol,Description,Technical Rating 1 day,Moving Averages Rating 1 day,Oscillators Rating 1 day,Relative Strength Index (14) 1 day,Momentum (10) 1 day,Awesome Oscillator 1 day,Commodity Channel Index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick Pattern 1 day
CSCO,"Cisco Systems, Inc.",Buy,Strong buy,Neutral,65.94404433,5.91,7.312958824,98.23079726,82.59988925,88.01094334,
PG,Procter & Gamble Company (The),Buy,Buy,Buy,55.55339622,4.82,-0.006075,196.1786403,66.04970309,54.62541792,
PLTR,Palantir Technologies Inc.,Sell,Strong sell,Neutral,48.60447275,10.73,-1.417205882,11.43303964,59.24603175,66.49470899,
HD,"Home Depot, Inc. (The)",Sell,Strong sell,Neutral,43.78695355,-8.86,4.234537353,-15.95509353,44.7254676,57.70522866,
KO,Coca-Cola Company (The),Sell,Sell,Neutral,46.19422957,-0.97,-0.525498529,-33.05101365,41.88948307,31.15419905,Marubozu Black
LRCX,Lam Research Corporation,Buy,Strong buy,Neutral,56.10517904,-7.85,26.37612676,44.43149782,70.85008424,77.62073801,
BABA,Alibaba Group Holding Limited,Sell,Strong sell,Neutral,49.39092835,4.51,4.148541471,32.1984612,55.22150678,61.3300144,
UNH,UnitedHealth Group Incorporated,Buy,Strong buy,Sell,81.46761976,41.69,54.84743382,117.8833049,93.94287988,93.40943455,
AMAT,"Applied Materials, Inc.",Buy,Strong buy,Neutral,61.57734859,9.13,35.13492824,75.93080392,81.42372867,86.80713685,
GEV,GE Vernova Inc.,Buy,Strong buy,Sell,73.30408146,129.11,173.0079868,130.4428371,84.64005609,88.30658843,
MS,Morgan Stanley,Strong buy,Strong buy,Neutral,67.40327268,9.04,18.16275882,69.27475774,78.51136807,81.82265553,
GE,GE Aerospace,Strong sell,Strong sell,Sell,42.51218628,-27.34,-14.30536324,-63.80007667,29.71000066,24.81539428,
GS,"Goldman Sachs Group, Inc. (The)",Strong buy,Strong buy,Buy,64.15219123,47.02,70.38882762,86.97380323,79.56955092,80.45355067,
MRK,"Merck & Company, Inc.",Sell,Strong sell,Sell,35.24435203,-9.92,-4.306359412,-164.6136053,9.522817258,12.02803778,
PM,Philip Morris International Inc,Sell,Strong sell,Neutral,47.4802253,-1.85,-1.090669118,45.15906747,65.44256121,71.10411403,
ARM,Arm Holdings plc,Buy,Strong buy,Sell,72.97953013,58.3,50.48619559,179.3346207,88.38569913,92.85863897,
KLAC,KLA Corporation,Buy,Strong buy,Neutral,70.82340818,131.22,238.0728676,110.8935128,92.46665667,93.65531898,Bearish Harami
WFC,Wells Fargo & Company,Sell,Strong sell,Neutral,47.44846316,-6.08,0.913788235,-55.48064034,10.33094523,15.38058024,Bullish Engulfing
TXN,Texas Instruments Incorporated,Buy,Strong buy,Neutral,76.49501737,52.79,49.11568971,161.6659052,87.95026978,92.36244953,
LIN,Linde plc,Buy,Strong buy,Neutral,61.01700263,1.88,7.815132353,177.9484318,95.66751545,79.12097932,Spinning Top White
RTX,RTX Corporation,Sell,Strong sell,Sell,23.69781946,-28.03,-15.35417235,-177.7017926,6.481931411,5.766396472,"Inverted Hammer, Long Upper Shadow"
C,"Citigroup, Inc.",Buy,Strong buy,Sell,62.86006835,2.86,11.697335,47.20999426,60.8453948,68.1283658,
AXP,American Express Company,Neutral,Neutral,Neutral,50.80454089,-4.98,13.83753824,-1.582991961,36.753515,54.23496779,Marubozu White
ANET,"Arista Networks, Inc.",Buy,Strong buy,Neutral,68.52568278,20.45,30.69323382,91.2135018,88.13362073,92.47082895,
IBM,International Business Machines Corporation,Strong sell,Strong sell,Neutral,36.60780099,-9.77,-5.663011471,-132.0103596,23.49741637,43.52270762,
PEP,"PepsiCo, Inc.",Sell,Strong sell,Sell,45.08298597,-1.78,-0.143944118,-61.68993529,40.22146466,38.69023154,
MCD,McDonald's Corporation,Strong sell,Strong sell,Sell,29.99038942,-14.3,-9.767098529,-273.5750788,7.461217389,8.579659475,
TMUS,"T-Mobile US, Inc.",Strong sell,Strong sell,Sell,31.30345756,-9.68,-11.61291765,-151.7776733,22.49286161,27.35630859,
VZ,Verizon Communications Inc.,Neutral,Neutral,Buy,46.74902315,1.67,-1.965875,4.089247914,53.65106275,45.13293639,
NEE,"NextEra Energy, Inc.",Buy,Strong buy,Neutral,58.47907681,2.53,1.386369118,136.2635818,75.71563554,55.22562232,
ADI,"Analog Devices, Inc.",Buy,Strong buy,Sell,71.18063798,42.58,55.00496059,115.3136724,87.12764305,90.79404738,
AMGN,Amgen Inc.,Sell,Strong sell,Sell,39.15065711,-9.64,-7.71502,-123.4778965,31.85093606,41.66065308,
APH,Amphenol Corporation,Buy,Strong buy,Neutral,60.07153711,3.37,13.25050029,51.09403581,78.49048968,80.73582924,Long Lower Shadow
BA,Boeing Company (The),Buy,Strong buy,Sell,60.97750137,9.19,17.21857941,106.9018987,85.34216329,86.88174258,
DIS,Walt Disney Company (The),Neutral,Neutral,Neutral,52.60960063,1.17,4.218070588,40.91345421,60.64040281,69.26327248,
T,AT&T Inc.,Strong sell,Strong sell,Sell,36.41256383,-0.09,-1.315692647,-70.12827685,34.94910434,34.82000516,
TJX,"TJX Companies, Inc. (The)",Neutral,Sell,Buy,46.81518348,-1.85,0.045325,-103.6832502,16.97598483,19.85394284,
TMO,Thermo Fisher Scientific Inc,Strong sell,Strong sell,Sell,36.67631337,-46.19,-1.214814412,-123.1222429,15.15608961,31.34243803,
BLK,"BlackRock, Inc.",Buy,Strong buy,Neutral,60.32158167,33.21,62.75756441,69.00724184,80.52823671,83.10350482,
ISRG,"Intuitive Surgical, Inc.",Sell,Sell,Neutral,50.41023635,12.03,5.371963824,100.634459,68.02668444,67.24225764,
SHOP,Shopify Inc.,Sell,Sell,Neutral,50.64237736,9.26,5.930931471,29.89847542,55.78285278,63.9185257,Spinning Top Black
ETN,"Eaton Corporation, PLC",Buy,Strong buy,Neutral,66.1291464,13.41,40.57071774,89.80219421,83.77354632,88.54370347,
ABT,Abbott Laboratories,Sell,Strong sell,Buy,30.99022754,-7.89,-9.930691176,-109.1533491,10.8018808,7.194375287,
QCOM,QUALCOMM Incorporated,Buy,Strong buy,Neutral,74.33974832,19.02,9.729167941,246.6566519,77.66063473,80.16853246,
UNP,Union Pacific Corporation,Buy,Strong buy,Neutral,71.78230243,17.64,14.06342794,214.9533891,86.60839123,80.80324698,
GILD,"Gilead Sciences, Inc.",Sell,Strong sell,Sell,26.97327037,-11.28,-7.089605882,-198.9748002,9.551672082,12.5721761,
SNDK,Sandisk Corporation,Strong buy,Strong buy,Neutral,72.51679869,117.7,192.3540715,125.7657253,93.13322454,91.35721621,
SCHW,Charles Schwab Corporation (The),Sell,Strong sell,Buy,43.23930163,-6.03,-3.034155882,-113.3349219,12.02363444,10.96374052,Bullish Engulfing
UBER,"Uber Technologies, Inc.",Buy,Buy,Neutral,56.21558141,3.93,2.017521765,62.96619591,60.17897092,61.77605162,
APP,Applovin Corporation,Buy,Buy,Neutral,54.14318906,42.84,26.86059559,50.09209932,70.36513545,76.6234786,
DE,Deere & Company,Sell,Sell,Neutral,43.76479232,-35.35,1.239643794,-71.7049497,20.72467881,31.97454317,Bullish Harami
PFE,"Pfizer, Inc.",Sell,Sell,Sell,44.72246589,-0.55,-0.269935676,-77.26757319,28.66094764,22.42064044,
PANW,"Palo Alto Networks, Inc.",Buy,Strong buy,Neutral,63.01510949,20.39,10.73043235,151.7807399,86.41481735,86.32387539,
COP,ConocoPhillips,Neutral,Neutral,Sell,48.76857855,-1.94,-2.350450882,-36.52762878,53.80425568,49.88849933,Spinning Top Black
CRM,"Salesforce, Inc.",Sell,Strong sell,Neutral,47.31054967,7.36,-3.471087059,2.941931098,45.58366622,56.01050451,
SCCO,Southern Copper Corporation,Sell,Sell,Sell,45.72624212,-18.26,6.703346176,-44.44840578,27.94231375,41.49727153,
BX,Blackstone Inc.,Sell,Strong sell,Sell,49.32661418,-1.45,9.455456471,2.30579316,45.33846119,60.00204214,
WELL,Welltower Inc.,Strong buy,Strong buy,Buy,56.28809107,3.04,1.487385294,54.26407498,62.81812539,47.66779784,
GLW,Corning Incorporated,Buy,Strong buy,Neutral,59.43897737,-7.16,20.91671118,56.01070805,74.31565127,78.42457468,
DELL,Dell Technologies Inc.,Buy,Strong buy,Sell,72.35147136,26.19,37.40097647,127.4787829,88.57350187,90.44091123,Spinning Top Black
MRVL,"Marvell Technology, Inc.",Buy,Strong buy,Sell,78.19381122,26.91,44.58086618,100.5906292,88.43127236,92.92661833,
BKNG,Booking Holdings Inc. Common Stock,Sell,Sell,Sell,48.87606126,0.27,6.588466,5.66745359,37.06240259,47.58172493,
PDD,PDD Holdings Inc.,Sell,Strong sell,Neutral,43.69208049,-2.33,-2.416079706,-103.5434135,12.28373702,11.76537418,
WDC,Western Digital Corporation,Buy,Strong buy,Sell,74.99893356,50.57,76.26357765,108.0394455,86.9197829,89.16128189,
LOW,"Lowe's Companies, Inc.",Sell,Strong sell,Neutral,47.45384722,-4.53,6.854530294,13.00570878,46.71354173,57.51097567,
PLD,"Prologis, Inc.",Buy,Strong buy,Neutral,55.26260149,2.87,6.935862206,51.38000689,67.92152739,73.22730992,
HON,Honeywell International Inc.,Sell,Strong sell,Neutral,30.74656036,-21.59,-11.16240735,-171.2283245,18.47126437,14.82120815,
SPGI,S&P Global Inc.,Sell,Sell,Neutral,52.15491155,7.14,14.24398676,36.67763912,60.34195163,68.22783371,Spinning Top White
IBKR,"Interactive Brokers Group, Inc.",Buy,Strong buy,Neutral,58.87055973,3.04,6.526382353,49.4905988,58.87054223,64.25125774,
STX,Seagate Technology Holdings PLC,Buy,Strong buy,Neutral,76.57055722,82.58,119.1171168,113.5256131,88.088056,90.55133877,
DHR,Danaher Corporation,Sell,Strong sell,Neutral,37.10171953,-15.25,-6.522598529,-153.0385939,14.95424837,15.32635397,Bullish Engulfing
CB,Chubb Limited,Sell,Sell,Sell,45.83080736,-5.38,0.192539706,-76.33050894,48.74019,50.97979275,Long Upper Shadow
SYK,Stryker Corporation,Sell,Strong sell,Neutral,40.26444954,-18.23,-7.124795588,-71.07032126,13.7037037,14.76764789,
NEM,Newmont Corporation,Buy,Strong buy,Neutral,52.85416482,-0.42,2.607927647,59.01506729,57.12936733,39.69153289,
VRT,"Vertiv Holdings, LLC",Buy,Strong buy,Neutral,67.10906772,22.47,36.21794412,88.91954172,90.89046706,88.06949365,
PH,Parker-Hannifin Corporation,Buy,Strong buy,Neutral,55.10130209,-15.15,36.49336176,35.157869,48.63958269,52.02261585,
COF,Capital One Financial Corporation,Sell,Sell,Sell,49.62982054,-3.44,9.102254412,-4.114133176,36.43164269,50.97498822,
LMT,Lockheed Martin Corporation,Sell,Strong sell,Sell,19.02901152,-106.42,-71.21445971,-179.5422909,7.051967609,6.446093689,Long Upper Shadow
PGR,Progressive Corporation (The),Sell,Sell,Neutral,49.96625604,2.41,2.117295294,41.39600898,62.81385281,69.12868077,
BMY,Bristol-Myers Squibb Company,Sell,Sell,Sell,43.57433454,-0.28,-0.193358059,-88.55926747,39.36605317,45.75274937,
CRWD,"CrowdStrike Holdings, Inc.",Buy,Strong buy,Neutral,60.7756209,52.37,32.28328382,111.2091922,82.05128205,85.65190353,
CEG,Constellation Energy Corporation,Buy,Strong buy,Neutral,60.84001712,23.45,-0.719255882,179.6941623,85.47851344,69.7378793,Long Lower Shadow
SBUX,Starbucks Corporation,Buy,Strong buy,Neutral,53.85024275,0.41,2.942797059,50.51782758,62.74482835,73.68853285,
MO,"Altria Group, Inc.",Buy,Strong buy,Neutral,50.78299976,-0.81,-0.046985294,20.32025725,67.53359341,57.24201228,
EQIX,"Equinix, Inc.",Buy,Strong buy,Neutral,67.67460463,33.01,90.50567971,78.55436599,83.11360743,89.22786598,
ACN,Accenture plc,Sell,Strong sell,Sell,33.40258839,-14.99,-9.994663235,-142.9145715,13.1576069,27.91411461,
VRTX,Vertex Pharmaceuticals Incorporated,Strong sell,Strong sell,Neutral,37.34250607,-14.04,-15.14915369,-185.7075956,22.19118746,35.27364709,Long Upper Shadow
INTU,Intuit Inc.,Sell,Strong sell,Neutral,44.48910075,20.48,-21.41421618,-20.54259362,61.12354486,62.56140641,Doji
TT,Trane Technologies plc,Buy,Strong buy,Neutral,68.78552194,12.96,40.76848013,96.74763064,90.11928225,90.34671391,
MDT,Medtronic plc.,Sell,Strong sell,Sell,34.89171654,-5.08,-3.285544706,-133.7232867,20.10658915,18.94379845,Long Upper Shadow
SO,Southern Company (The),Sell,Sell,Neutral,44.23028702,-2.16,-2.589426471,-63.07924368,30.81761006,21.65855689,
CME,CME Group Inc.,Sell,Strong sell,Sell,33.04016779,-18.65,-15.98386324,-113.4574492,26.75672659,25.30579332,
SPOT,Spotify Technology S.A.,Strong sell,Strong sell,Neutral,45.58196169,-8.28,13.54997412,-4.652550801,55.14676584,64.49271347,
MCK,McKesson Corporation,Sell,Strong sell,Buy,31.61292814,-36.25,-46.06697382,-155.8597274,19.88547688,17.74306303,Spinning Top White
CVS,CVS Health Corporation,Buy,Strong buy,Buy,56.72047446,0.27,2.623414706,59.89914596,76.1123461,73.36991753,
HCA,"HCA Healthcare, Inc.",Sell,Strong sell,Neutral,33.42928491,-51.6,-32.57957647,-179.2492296,18.7693822,19.26353615,
DUK,Duke Energy Corporation (Holding Company),Sell,Sell,Neutral,43.47691044,-3.31,-2.860240588,-73.5656405,27.80787288,20.56412043,
CMCSA,Comcast Corporation,Sell,Strong sell,Neutral,41.82602191,-0.54,0.322763824,-92.68968195,32.18907283,53.36708152,
HWM,Howmet Aerospace Inc.,Sell,Sell,Sell,47.22616428,-14.44,1.517839706,-33.32905344,40.44121479,43.34859519,Long Lower Shadow
ADBE,Adobe Inc.,Sell,Strong sell,Neutral,45.60473408,-0.8,-0.193002941,-8.303736767,49.43192759,61.63276209,Long Upper Shadow
MAR,Marriott International,Buy,Strong buy,Neutral,56.19350048,1.11,27.91950882,36.40663395,66.4276466,75.11258387,
SNPS,"Synopsys, Inc.",Buy,Strong buy,Sell,69.70517215,80.77,51.21621618,141.475709,90.02116216,88.67907523,
PWR,"Quanta Services, Inc.",Strong buy,Strong buy,Neutral,71.46884714,41.44,43.46051529,136.4890282,91.48232067,90.9707376,
NOW,"ServiceNow, Inc.",Sell,Strong sell,Neutral,41.75351711,1.39,-8.668147059,-62.05961639,29.69049575,45.65175958,
MELI,"MercadoLibre, Inc.",Buy,Buy,Neutral,55.54175536,7.35,101.36413,63.19393502,61.11795154,66.85358385,Long Upper Shadow
CDNS,"Cadence Design Systems, Inc.",Buy,Strong buy,Neutral,66.54732987,48.34,33.63974853,125.6964409,89.08460685,88.23851786,
FDX,FedEx Corporation,Buy,Strong buy,Buy,60.19420612,16,25.09404647,77.13214482,76.05642398,77.83258624,Doji
BK,The Bank of New York Mellon Corporation,Buy,Strong buy,Neutral,68.12008967,5.32,12.09997412,63.26722339,70.14349871,77.46722516,
UPS,"United Parcel Service, Inc.",Strong buy,Strong buy,Buy,65.44043936,6.22,6.552570588,106.1098192,94.09863154,89.25985284,
CMI,Cummins Inc.,Buy,Strong buy,Neutral,75.15068476,42.52,72.97068529,105.6968741,95.87305749,94.43785811,Long Lower Shadow
WM,"Waste Management, Inc.",Sell,Strong sell,Neutral,45.32089541,-4.8,-3.194207353,-31.9270799,57.29978378,48.14514152,
KKR,KKR & Co. Inc.,Neutral,Neutral,Neutral,55.76774909,2.59,9.525162647,44.2546046,65.19560072,73.6325459,Long Upper Shadow
PNC,"PNC Financial Services Group, Inc. (The)",Buy,Strong buy,Neutral,54.84960527,-1.67,12.07138529,27.24350126,48.50048683,65.22023739,
CVNA,Carvana Co.,Buy,Strong buy,Sell,66.68053694,47.46,72.36868529,91.82137498,90.23423111,92.14682099,
BSX,Boston Scientific Corporation,Sell,Strong sell,Neutral,38.53921556,-3.23,-2.784883824,-142.3421455,42.49499666,56.8213807,
ICE,Intercontinental Exchange Inc.,Sell,Strong sell,Neutral,42.83487272,-7.36,-1.479919118,-81.2637632,17.9795628,17.56993168,Marubozu Black
JCI,Johnson Controls International plc,Strong buy,Strong buy,Neutral,61.21215074,0.56,5.492885294,95.18400551,87.20993493,82.75122907,Spinning Top White
WMB,"Williams Companies, Inc. (The)",Neutral,Neutral,Neutral,47.59020276,0.07,-1.259976471,-0.631606373,45.74544649,40.08624137,
FCX,"Freeport-McMoRan, Inc.",Sell,Sell,Sell,43.14478592,-7.46,3.337512353,-69.08022371,12.80858483,38.20557382,
USB,U.S. Bancorp,Buy,Strong buy,Neutral,56.20525008,-0.54,2.955088235,38.1842791,55.13593723,66.26280566,
ABNB,"Airbnb, Inc.",Buy,Strong buy,Neutral,60.83472731,10.74,10.44846706,76.48142172,77.07841168,81.2004658,
GD,General Dynamics Corporation,Sell,Strong sell,Sell,25.24488034,-28.23,-23.39858824,-161.5300744,6.665500604,7.418866156,Long Upper Shadow
CSX,CSX Corporation,Buy,Strong buy,Neutral,70.22598446,3.11,3.432407353,154.3658424,83.95445977,85.57928054,Spinning Top White
SHW,Sherwin-Williams Company (The),Buy,Buy,Buy,53.33984381,1.72,11.47040882,65.19778198,58.624614,62.41575288,Bearish Engulfing
AMT,American Tower Corporation (REIT),Strong sell,Strong sell,Sell,46.03068346,-5.64,-0.132852941,-9.107198416,44.95841173,48.63100198,
SLB,SLB Limited,Buy,Strong buy,Sell,64.39008637,3.31,4.210578529,182.0020647,84.8080806,87.0346043,
MRSH,Marsh,Strong sell,Strong sell,Sell,44.05599686,-3.4,0.248851471,-114.012444,34.60179397,46.44075987,Inverted Hammer
NOC,Northrop Grumman Corporation,Sell,Strong sell,Neutral,18.14376215,-106.03,-87.46229235,-163.064595,4.420751868,3.990563718,
MCO,Moody's Corporation,Buy,Buy,Neutral,57.34533542,21.315,19.69025765,85.72187832,55.11122578,59.26123269,
EMR,Emerson Electric Company,Buy,Strong buy,Neutral,52.66425162,-2.99,6.645922353,21.27671172,49.28088676,62.69219365,Doji
ADP,"Automatic Data Processing, Inc.",Sell,Strong sell,Neutral,41.42340318,1.85,-4.169408824,-47.10479006,50.44623422,59.6732453,
REGN,"Regeneron Pharmaceuticals, Inc.",Sell,Strong sell,Sell,45.33151025,-2.02,-4.414229412,-67.02526326,47.92193712,47.52029891,Long Upper Shadow
CRH,CRH PLC,Buy,Strong buy,Neutral,57.32480868,-0.6,8.035936162,49.90825442,71.7678801,76.68589466,"Doji, Bearish Harami"
NSC,Norfolk Southern Corporation,Buy,Strong buy,Sell,70.74016502,21.33,17.55217529,170.213989,91.23383657,84.70550357,Doji
MPWR,"Monolithic Power Systems, Inc.",Buy,Strong buy,Sell,76.45655834,215.34,337.9206076,109.7439469,91.61785266,94.08832582,
ITW,Illinois Tool Works Inc.,Buy,Strong buy,Neutral,50.96481784,-4.77,4.611897059,41.50228401,74.54696503,75.3162069,Doji
ELV,"Elevance Health, Inc.",Strong buy,Strong buy,Buy,75.7397798,40.27,33.38898853,191.7801279,93.81877696,89.09851101,
ORLY,"O'Reilly Automotive, Inc.",Sell,Strong sell,Sell,46.59554663,-2.04,1.223358824,-20.41979432,46.65248388,63.74618483,
BAM,Brookfield Asset Management Inc,Sell,Sell,Neutral,51.64061862,0.63,2.805,31.84881814,56.69070419,65.02611043,
HLT,Hilton Worldwide Holdings Inc.,Buy,Strong buy,Neutral,60.27299187,5.19,24.018975,55.09296514,72.3399778,76.98412188,Spinning Top Black
MMM,3M Company,Sell,Strong sell,Sell,42.63598147,-7.02,-0.720198529,-46.65702688,16.92586091,20.63811239,Doji
ECL,Ecolab Inc.,Sell,Strong sell,Neutral,45.00611608,-7.32,0.991139132,-38.27807832,42.96265429,51.38589539,
DASH,"DoorDash, Inc.",Neutral,Neutral,Neutral,53.64616834,14.45,15.50465882,50.67183242,64.97162141,70.80582611,Bearish Engulfing
HOOD,"Robinhood Markets, Inc.",Buy,Buy,Neutral,55.96132874,12.28,9.936877941,51.72676221,64.80243152,69.86995606,
MNST,Monster Beverage Corporation,Buy,Strong buy,Sell,53.89385809,1.69,1.893375,100.2568018,86.65728004,83.89525907,
NET,"Cloudflare, Inc.",Buy,Strong buy,Neutral,56.55849569,28.34,0.976893824,74.71440576,72.18947828,70.55228116,
CI,The Cigna Group,Strong buy,Strong buy,Buy,57.98969695,7.51,8.153989706,113.7422956,69.54673085,61.60449258,
MDLZ,"Mondelez International, Inc.",Sell,Sell,Neutral,49.48343963,-0.26,-0.171154412,9.099718736,50.7082153,36.85307803,"Inverted Hammer, Long Upper Shadow"
AEP,"American Electric Power Company, Inc.",Buy,Strong buy,Neutral,57.9801731,0.61,1.488161471,83.06130831,57.49235474,43.85167608,Long Upper Shadow
ROST,"Ross Stores, Inc.",Buy,Strong buy,Neutral,61.09307508,5.22,8.704161765,71.09878655,70.9509054,72.78876445,Spinning Top Black
MSI,"Motorola Solutions, Inc.",Sell,Strong sell,Sell,38.97290876,-8.31,-6.766325294,-112.6944685,31.27542734,48.59728076,
CIEN,Ciena Corporation,Buy,Strong buy,Neutral,62.92861011,26.43,72.76526176,62.64339383,84.27314352,85.74777286,
EOG,"EOG Resources, Inc.",Sell,Sell,Neutral,46.8385681,-3.74,-4.297288235,-42.48200602,44.54932293,41.13199102,
APO,"Apollo Global Management, Inc. (New)",Buy,Buy,Neutral,60.53951554,13.38,13.74674853,69.71543143,75.68904594,81.36631331,
VLO,Valero Energy Corporation,Buy,Strong buy,Sell,53.1052266,-3.83,-3.508927941,3.237766447,59.12376203,52.43884437,
NU,Nu Holdings Ltd.,Sell,Strong sell,Neutral,46.98851593,-0.31,0.208163235,-7.283113941,31.08667043,39.39853285,
GM,General Motors Company,Buy,Strong buy,Neutral,52.258224,1.13,2.663168824,29.84991298,52.7146319,60.2695265,
CTAS,Cintas Corporation,Strong sell,Strong sell,Sell,41.76010792,-1.64,-3.398302647,9.009230212,53.25358573,58.80462092,
RCL,Royal Caribbean Cruises Ltd.,Sell,Strong sell,Sell,41.33830956,-23.51,-8.538673824,-139.8011103,7.520537499,9.353032779,
AON,Aon plc,Sell,Strong sell,Sell,48.1228245,-1.62,2.493701471,-42.01838186,49.77367067,57.26458048,Bullish Engulfing
KMI,"Kinder Morgan, Inc.",Sell,Strong sell,Sell,30.79850232,-1.12,-1.201992647,-109.1880236,21.30483445,25.91288031,
DLR,"Digital Realty Trust, Inc.",Buy,Strong buy,Neutral,61.7653985,4.49,15.11984676,44.46170241,68.98205933,77.15627506,
BKR,Baker Hughes Company,Buy,Strong buy,Neutral,69.11719226,5.82,3.668810294,249.8393952,86.70028242,75.23656978,
CL,Colgate-Palmolive Company,Sell,Sell,Neutral,46.18750439,0.19,-2.121348529,11.06537729,51.84381779,36.22559653,
NTES,"NetEase, Inc.",Sell,Strong sell,Neutral,41.81289406,-2.05,-2.112554412,-73.07204609,16.27113386,20.27585266,
APD,"Air Products and Chemicals, Inc.",Buy,Strong buy,Neutral,62.75504275,3.73,8.753386471,171.5612318,89.18757662,86.13429232,
WBD,"Warner Bros. Discovery, Inc. - Series A",Sell,Strong sell,Sell,36.49558323,-0.57,-0.207852941,-223.1954784,8.212560386,15.59199932,
PCAR,PACCAR Inc.,Strong buy,Strong buy,Buy,61.05959546,-0.18,6.918947765,66.0802494,79.60246956,78.03902692,
MPC,Marathon Petroleum Corporation,Buy,Strong buy,Neutral,51.71896638,1.92,-9.087060882,-11.06254849,45.12085932,35.29542342,
NKE,"Nike, Inc.",Sell,Strong sell,Buy,37.69877719,2.23,-3.421289706,-14.38647014,56.8989071,63.25136612,
BE,Bloom Energy Corporation,Buy,Strong buy,Neutral,72.10483506,58.01,61.90882059,85.55900017,92.88912259,93.25997159,
PSX,Phillips 66,Neutral,Buy,Neutral,48.65056561,3.7,-9.068256765,-12.64426791,42.80629731,32.19446464,
TDG,Transdigm Group Inc.,Sell,Strong sell,Neutral,41.3730948,-74.75,-21.40081029,-77.93196602,9.214738052,16.56566657,
SPG,"Simon Property Group, Inc.",Buy,Strong buy,Neutral,57.10189522,0.58,10.30877059,36.322317,65.7586894,71.29871849,
